,Image,Accuracy,F1,Jaccard,Recall,Precision
46,0532,0.9965476989746094,0.9777077123925414,0.9563876439689654,0.9997984886649874,0.9565720345110137
47,0534,0.9966468811035156,0.9780672206003443,0.9570758863170231,0.9999489795918367,0.9571226253845778
48,0537,0.9969291687011719,0.979490968382971,0.9598062712202916,0.9996359854394176,0.9601418510563908
49,0547,0.9966506958007812,0.9757538937368828,0.9526557023456457,1.0,0.9526557023456457
50,0549,0.99676513671875,0.9761368752814048,0.9533861037818822,0.9999423464975498,0.9534385135506569
51,0555,0.9965324401855469,0.9727770956245694,0.9469970845481049,1.0,0.9469970845481049
52,0560,0.9961166381835938,0.9674469173701714,0.9369464230411892,1.0,0.9369464230411892
53,0580,0.9958229064941406,0.9497591190640056,0.9043250327653998,1.0,0.9043250327653998
54,0588,0.9958152770996094,0.9367395190588779,0.8810066167697147,1.0,0.8810066167697147
55,0599,0.9958305358886719,0.8987118895375776,0.8160552002692696,1.0,0.8160552002692696
56,0619,0.998992919921875,0.5900621118012422,0.4185022026431718,1.0,0.4185022026431718
57,0624,0.9999732971191406,0.0,0.0,1.0,0.0
58,0629,1.0,1.0,0.0,1.0,1.0
59,0646,1.0,1.0,0.0,1.0,1.0
60,0652,1.0,1.0,0.0,1.0,1.0
61,0655,1.0,1.0,0.0,1.0,1.0
62,0659,1.0,1.0,0.0,1.0,1.0
63,0667,1.0,1.0,0.0,1.0,1.0
64,0679,1.0,1.0,0.0,1.0,1.0
65,0686,1.0,1.0,0.0,1.0,1.0
66,0689,1.0,1.0,0.0,1.0,1.0
67,0691,1.0,1.0,0.0,1.0,1.0
68,0699,0.9976768493652344,0.3528161530286929,0.21419354838709678,1.0,0.21419354838709678
69,0705,0.9961738586425781,0.6219374293252921,0.4513129102844639,1.0,0.4513129102844639
70,0720,0.9924697875976562,0.8091278282730613,0.6794413770704775,1.0,0.6794413770704775
71,0729,0.9943122863769531,0.8809770894867087,0.7872735054929376,0.9860614724803431,0.79613331409609
72,0734,0.9945144653320312,0.8969471119392289,0.8131496881496881,0.9852015113350125,0.8232044198895028
73,0746,0.9967155456542969,0.9467104041591878,0.89881302150664,0.984932388924662,0.9113441372735939
74,0782,0.9919395446777344,0.9156453351431195,0.8444149915322877,0.9878542510121457,0.8532738095238095
75,0812,0.9796714782714844,0.8427977226466858,0.7283063118180891,0.960013440860215,0.751091014248909
76,0836,0.9729080200195312,0.8060940315622782,0.6751738016831321,0.9387599364069952,0.7062819960767427
77,0861,0.9900016784667969,0.9234096022909909,0.8577167363335324,0.987376577927759,0.8672265217629946
78,0872,0.9982185363769531,0.9856471094446323,0.971700399951521,0.9901204075331893,0.9812140496879207
79,0874,0.9982261657714844,0.9857767717860093,0.9719524699921588,0.9893172888015717,0.9822615056385249
80,0889,0.9977531433105469,0.982457185405808,0.965519260039808,0.9908681285671372,0.974187832250443
81,0894,0.9971199035644531,0.9774080612825039,0.955814361795517,0.9882011254311127,0.9668482121714421
82,0895,0.9968109130859375,0.9749925216871075,0.9512052763672445,0.9875174210749561,0.9627813552312873
83,0901,0.9977226257324219,0.9817982255556572,0.9642472152353575,0.9871252528968181,0.976528384279476
84,0913,0.9963150024414062,0.9688908926961225,0.939658941845212,0.9703283235502805,0.9674577143224644
85,0936,0.9974555969238281,0.972924700629186,0.9472768951071061,0.9965904365904366,0.9503568596352101
86,0940,0.997650146484375,0.9733725252874557,0.9481263157894737,0.9998223958795844,0.9482860271203571
87,0950,0.9975242614746094,0.9661785397884205,0.9345700171388245,1.0,0.9345700171388245
88,0959,0.9973373413085938,0.9543969685090815,0.9127718070482379,0.9998631074606434,0.9128858892638421
89,0964,0.9971923828125,0.9433323067446875,0.8927426406295541,1.0,0.8927426406295541
90,0974,0.997222900390625,0.9093173891380169,0.8337140246687985,1.0,0.8337140246687985
91,0992,0.9992141723632812,0.8635761589403973,0.7599067599067599,0.9969418960244648,0.7616822429906542
92,0994,0.9992904663085938,0.8221797323135754,0.698051948051948,0.9930715935334873,0.7014681892332789
93,1000,1.0,1.0,0.0,1.0,1.0
94,10008,1.0,1.0,0.0,1.0,1.0
95,10031,0.9967308044433594,0.0,0.0,0.0,0.0
96,10045,0.9962120056152344,0.4570803717878622,0.296243798724309,0.34631317315658655,0.6720257234726688
97,10072,0.9897613525390625,0.8473612374886259,0.7351490033550424,0.8581960603617095,0.8367965854206447
98,1009,1.0,1.0,0.0,1.0,1.0
99,10107,0.9977302551269531,0.985285025349326,0.970996831586644,0.9915380786460926,0.9791103465224871
100,10113,0.9977684020996094,0.9862833829632582,0.9729379654901236,0.9944678235377559,0.9782325581395349
101,10116,0.998046875,0.988292861389308,0.9768566650092664,0.9942491718807508,0.9824074915901445
102,10120,0.9979515075683594,0.9880923343016165,0.97646491650962,0.9954872436441624,0.980806480014087
103,10123,0.9982070922851562,0.9898211114480011,0.9798473544292943,0.9962507629261488,0.9834739197796523
104,10127,0.9981002807617188,0.9894015493317444,0.9790253969591037,0.996356622374625,0.9825429030349142
105,10129,0.9981231689453125,0.9895987484672953,0.9794116416286563,0.9962117987571295,0.9830729166666666
106,10139,0.9980850219726562,0.9896018890591988,0.9794177941779417,0.9953748072836368,0.9838955475925697
107,10142,0.9980506896972656,0.989450213679625,0.9791206995178556,0.9956373608110354,0.983339488694653
108,10145,0.9980125427246094,0.989282261216597,0.9787918261011154,0.9955285057756801,0.9831139095592444
109,1015,1.0,1.0,0.0,1.0,1.0
110,10162,0.998199462890625,0.9902184274878767,0.980626359643722,0.9983702465524447,0.982198651537576
111,10164,0.9982261657714844,0.9903288201160543,0.9808429118773946,0.9980297631523789,0.9827458102864691
112,10169,0.9981269836425781,0.9896924530282355,0.9795952291900428,0.9974610697359513,0.9820439111777695
113,10176,0.9979820251464844,0.9886731045114875,0.9775999322493225,0.9982272570044967,0.9793001060445387
114,10182,0.9978828430175781,0.9878547825896666,0.9760010377929603,0.997966131670867,0.977946273830156
115,10196,0.9977378845214844,0.9861387064350997,0.9726564301194264,0.9996208890152593,0.9730153604871074
116,10204,0.9974899291992188,0.983856722276742,0.968226375006036,0.9992026710519759,0.9689750157057943
117,10208,0.9974479675292969,0.9831371461699393,0.9668335729512667,0.9995899538698103,0.9672171799831374
118,10210,0.9973564147949219,0.9822974940608475,0.9652108433734939,1.0,0.9652108433734939
119,10222,0.997222900390625,0.9795918367346939,0.96,0.9999427688433583,0.9600527501511072
120,10225,0.9972114562988281,0.978975524173833,0.9588169014084507,1.0,0.9588169014084507
121,10228,0.9971046447753906,0.9775609756097561,0.9561068702290076,1.0,0.9561068702290076
122,1023,1.0,1.0,0.0,1.0,1.0
123,10232,0.9970016479492188,0.9758064516129031,0.952755905511811,1.0,0.952755905511811
124,10237,0.9969100952148438,0.9736636753804135,0.9486789583729329,0.9996661770596875,0.9489795918367347
125,10239,0.996917724609375,0.9731168485493744,0.9476412649040954,1.0,0.9476412649040954
126,10243,0.9968681335449219,0.9712585331699632,0.944123051793371,1.0,0.944123051793371
127,10261,0.9952278137207031,0.940243611177454,0.8872261786712341,1.0,0.8872261786712341
128,10290,0.9967613220214844,0.8768315682576526,0.7806768276931025,1.0,0.7806768276931025
129,10295,0.9970321655273438,0.8328319724967769,0.7135493372606775,1.0,0.7135493372606775
130,10298,0.9972572326660156,0.7823191038449894,0.6424664346096469,1.0,0.6424664346096469
131,10300,0.9976463317871094,0.7468198604842019,0.595939751146038,1.0,0.595939751146038
132,10329,1.0,1.0,0.0,1.0,1.0
133,10341,1.0,1.0,0.0,1.0,1.0
